iteration,noise_stddev,level
398,52.201,0
399,52.210,0
400,52.208,0
401,52.194,0
402,52.202,0
403,52.211,0
404,52.208,0
405,52.209,0
406,52.203,0
407,52.212,0
408,52.203,0
409,52.214,0
410,52.215,0
411,52.204,0
412,52.218,0
413,52.217,0
414,52.210,0
415,52.221,0
416,52.211,0
417,52.203,0
418,52.204,0
419,52.212,0
420,52.221,0
421,52.211,0
422,52.214,0
423,52.215,0
424,52.216,0
425,52.202,0
426,52.205,0
427,52.209,0
428,52.210,0
429,52.196,0
430,52.208,0
431,52.201,0
432,52.207,0
433,52.202,0
434,52.215,0
435,52.213,0
436,52.223,0
437,52.198,0
438,52.194,0
439,52.194,0
440,52.210,0
441,52.203,0
442,52.195,0
443,52.208,0
444,52.225,0
445,52.195,0
446,52.213,0
447,52.211,0
448,52.217,0
449,52.220,0
450,52.217,0
451,52.205,0
452,52.212,0
453,52.203,0
454,52.208,0
455,52.192,0
456,52.208,0
457,52.207,0
458,52.201,0
459,52.208,0
460,52.212,0
461,52.210,0
462,52.208,0
463,52.201,0
464,52.211,0
465,52.222,0
466,52.211,0
467,52.201,0
468,52.207,0
469,52.202,0
470,52.217,0
471,52.204,0
472,52.196,0
473,52.217,0
474,52.198,0
475,52.195,0
476,52.197,0
477,52.199,0
478,52.207,0
479,52.201,0
480,52.215,0
481,52.214,0
482,52.197,0
483,52.217,0
484,52.217,0
485,52.195,0
486,52.203,0
487,52.201,0
488,52.205,0
489,52.211,0
490,52.209,0
491,52.211,0
492,52.211,0
493,52.212,0
494,52.207,0
495,52.205,0
496,52.207,0
497,52.212,0
498,52.204,0
499,52.198,0
500,52.210,0
501,52.209,0
502,52.220,0
503,52.207,0
504,52.197,0
505,52.211,0
506,52.205,0
507,52.213,0
508,52.213,0
509,52.211,0
510,52.217,0
511,52.198,0
512,52.212,0
513,52.203,0
514,52.210,0
515,52.204,0
516,52.212,0
517,52.204,0
518,52.208,0
519,52.202,0
520,52.203,0
521,52.203,0
522,52.202,0
523,52.212,0
524,52.198,0
525,52.219,0
526,52.221,0
527,52.211,0
528,52.212,0
529,52.201,0
530,52.223,0
531,52.225,0
532,52.225,0
533,52.209,0
534,52.211,0
535,52.210,0
536,52.207,0
537,52.218,0
538,52.209,0
539,52.212,0
540,52.214,0
541,52.196,0
542,52.206,0
543,52.213,0
544,52.211,0
545,52.203,0
546,52.207,0
547,52.202,0
548,52.201,0
549,52.202,0
550,52.218,0
551,52.211,0
552,52.205,0
553,52.209,0
554,52.202,0
555,52.192,0
556,52.206,0
557,52.212,0
558,52.193,0
559,52.211,0
560,52.202,0
561,52.211,0
562,52.192,0
563,52.218,0
564,52.211,0
565,52.203,0
566,52.216,0
567,52.210,0
568,52.191,0
569,52.196,0
570,52.200,0
571,52.197,0
572,52.200,0
573,52.208,0
574,52.217,0
575,52.202,0
576,52.213,0
577,52.212,0
578,52.200,0
579,52.207,0
580,52.198,0
581,52.214,0
582,52.201,0
583,52.206,0
584,52.200,0
585,52.212,0
586,52.202,0
587,52.221,0
588,52.195,0
589,52.202,0
590,52.198,0
591,52.204,0
592,52.193,0
593,52.207,0
594,52.205,0
