channel,friendly,tx_count,bandwidth_MB,runtime_min,MB_per_tx,ms_per_tx
13_64_128,mini,100,52.461965460526315,0.020875899583333333,0.5246196546052632,12.52553975
13_64_128,mini,1000,524.6196546052631,0.20875899583333332,0.5246196546052632,12.52553975
13_64_128,mini,10000,5246.196546052632,2.087589958333333,0.5246196546052632,12.52553975
14_73_224,mid,100,104.20949835526316,0.030291105999999998,1.0420949835526316,18.1746636
14_73_224,mid,1000,1042.0949835526317,0.30291105999999995,1.0420949835526316,18.1746636
14_73_224,mid,10000,10420.949835526317,3.0291105999999997,1.0420949835526316,18.1746636
15_128_256,rich,100,207.28824013157893,0.06727054616666665,2.0728824013157894,40.3623277
15_128_256,rich,1000,2072.8824013157896,0.6727054616666666,2.0728824013157894,40.3623277
15_128_256,rich,10000,20728.824013157893,6.727054616666666,2.0728824013157894,40.3623277
